paper_id,title,authors,abstract,date,source,vhbRanking,abdcRanking,journal_name,doi,source_count,eissn,citations,sources,journal_quartile,issn,url
https://doi.org/10.1016/j.technovation.2025.103415,Artificial intelligence in humanitarian aid: A review and future research agenda,"Lythreatis, Sophie (57188563931); Acikgoz, Fulya (57217735955); Yassine, Noura M. (57192157615)","As crises, both natural and man-made, continue to escalate in frequency and complexity, the need for effective and timely humanitarian interventions has become increasingly critical. Artificial intelligence (AI) has emerged as a transformative tool in enhancing humanitarian aid, addressing all stages of the crisis management cycle. Despite growing interest in AI's application within the humanitarian field, the existing literature remains fragmented, with limited synthesis of its overall impact. This study adopts a systematic literature review approach to provide a comprehensive analysis of AI's utilization in humanitarian aid across the crisis cycle, as well as its role in broader humanitarian settings outside of immediate crisis contexts. Based on 60 selected studies, the findings reveal that AI applications in both the pre- and post-crisis phases can be grouped into four specific categories, and that AI's role in broader humanitarian contexts can similarly be divided into four focus areas. Specifically, the categories in the pre-crisis phase include site selection, medical services enhancement, early warning, and information flow, and the categories in the post-crisis phase include distribution and delivery, damage assessment, online and textual insights, and routing optimization. The review highlights AI's significant potential to enhance the effectiveness and efficiency of humanitarian efforts, offering valuable insights for organizations seeking to harness AI's transformative power. © 2025 The Authors",2026-01-01,Scopus,C,A,Technovation,https://doi.org/10.1016/j.technovation.2025.103415,0,,0,Scopus,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105020375829&doi=10.1016%2Fj.technovation.2025.103415&partnerID=40&md5=029720467f58ac6f8843c48dce881060
https://doi.org/10.1061/JCEMD4.COENG-16899,Enhancing Circularity in the Building Industry: A Review of Material Passports and Digital Twin Technologies,"Ahmadi, Leila (57200995896); Bilal, Muhammad (60198029700); Olumo, Adama (58689028600); Mollaei, Aida (57219284267); Jalaei, Farzad (54894358100); Ebrahimi, Nafiseh (58596236500); Mozaffari, Hamed (59301537300); Kim, Joyce (57135548100); Haas, Carl T.M. (7202620442)","Material passports (MPs) enhance the reuse and recycling of building materials by archiving detailed information, while digital twin (DT) technologies streamline data management via virtual representations and real-time updates across the supply chain. Integrating these tools presents significant opportunities to support circular strategies in the construction industry. This systematic review assesses the current state of research, emerging technologies, and key methodologies for DT and MP adoption. Following Preferred Reporting Items for Systematic Reviews and Meta-Analyses (PRISMA) protocols, academic and practice-based publications examining MP regulatory frameworks, technological advancements, and functionalities were systematically reviewed. The review identifies critical gaps in the integration of advanced technologies such as artificial intelligence (AI) and Internet of Things (IoT), highlights the limited scalability of current MP frameworks, and proposes a path forward through dynamic material passports (DMPs) - a concept where MPs are continuously updated throughout a building's lifecycle via DT integration. The primary contribution of this study lies in synthesizing fragmented literature on MPs and DTs, proposing a comprehensive and lifecycle-oriented framework to enable real-time material tracking, and highlighting the transition toward scalable, data-driven circular solutions in construction. The review reveals the following findings: (1) inadequate investigation into AI and IoT technologies within the MP context; (2) the potential benefit of combining MPs with DT technology to create DMPs; and (3) limited applicability of current methodologies to existing building stocks, as they are often complex and tailored to new construction projects. These findings offer a foundation for future development and adoption of DMPs, and inform policies, practices, and digital strategies aimed at enhancing circularity in the built environment. © 2025 American Society of Civil Engineers.",2026-01-01,Scopus,,A*,Journal of Construction Engineering and Management,https://doi.org/10.1061/JCEMD4.COENG-16899,0,,0,Scopus,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105022114628&doi=10.1061%2FJCEMD4.COENG-16899&partnerID=40&md5=00232f3ee88fdf552cccd1a10181c185
https://doi.org/10.1016/j.seps.2025.102270,An Industry 4.0 geolocation system for last mile ground disasters survivor detection: Tests and results,"Soto-Vergel, Angelo J. (57224891931); Ramirez-Rios, Diana G. (35957015800); Vélez, Juan Carlos (39362643600); Amaya-Mier, René (57194037052)","This research introduces a novel geolocation system for survivor detection after disasters, based on the Ground Disaster Information Management System (GDIMS) guidelines. Our geolocation system is a rapid deployment, low-power, and wide-area network solution that uses tiny machine-learning-based voice activity detection to obtain timely information in challenging disaster-struck environments. The system is designed to signal survivor existence on an interactive map and further guide search and rescue efforts during the aftermath of a disaster. The impact and relevance of this technology lie in its ability to continuously monitor disasters despite disruptions from remote, steep, and/or debris disaster surroundings, nontrivial locations of possible victims, and failed transportation and communication infrastructure. This research draws from lessons learned from past events, such as the 2017 and 2010 landslides in Mocoa and Gramalote, Colombia. Results from numerical tests conducted in Gramalote, Colombia, show the technological maturity of the system and its capabilities for possible real-world implementation. © 2025 Elsevier Ltd",2025-01-01,Scopus,,C,Socio-Economic Planning Sciences,https://doi.org/10.1016/j.seps.2025.102270,0,,0,Scopus,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105010657199&doi=10.1016%2Fj.seps.2025.102270&partnerID=40&md5=b594af06c1d23af882dd4faddd6b447b
https://doi.org/10.1108/HRMID-06-2025-0159,Performance evaluations,Unknown Author,"Purpose – This paper aims to review the latest management developments across the globe and pinpoint practical implications from cutting-edge research and case studies. Design/methodology/approach – This briefing is prepared by an independent writer who adds their own impartial comments and places the articles in context. Findings – Researchers created fair and inclusive performance evaluations for faculty members in higher education institutions. They adopted the “dual-agenda” dialogues training that draws on concepts of collective self-efficacy and intersectionality for department leaders to co-create annual review criteria with their faculty members. Faculty members and leaders considered the criteria to be inclusive and were optimistic about future reviews. Originality/value – The briefing saves busy executives, strategists and researchers hours of reading time by selecting only the very best, most pertinent information and presenting it in a condensed and easy-to-digest format. © 2025 Emerald Publishing Limited",2025-01-01,Scopus,,C,Human Resource Management International Digest,https://doi.org/10.1108/HRMID-06-2025-0159,0,,0,Scopus,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105016747529&doi=10.1108%2FHRMID-06-2025-0159&partnerID=40&md5=390c1ff80cc84e4eb813d5728414ddca
https://doi.org/10.1108/HRMID-07-2025-0188,Balancing the scales to increase employee engagement,Unknown Author,"Purpose – This paper aims to review the latest management developments across the globe and pinpoint practical implications from cutting-edge research and case studies. Design/methodology/approach – This briefing is prepared by an independent writer who adds their own impartial comments and places the articles in context. Findings – Employee work engagement is crucial to effective job performance. Firms looking to increase engagement among employees should aim to provide them with appropriate support that can additionally help to enhance their work-life balance. Originality/value – The briefing saves busy executives and researchers hours of reading time by selecting only the very best, most pertinent information and presenting it in a condensed and easy-to-digest format. © 2025 Emerald Publishing Limited",2025-01-01,Scopus,,C,Human Resource Management International Digest,https://doi.org/10.1108/HRMID-07-2025-0188,0,,0,Scopus,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105016741460&doi=10.1108%2FHRMID-07-2025-0188&partnerID=40&md5=18d4016396e34396c7fd830adc622288
https://doi.org/10.1016/j.jclepro.2025.146229,"Integrated approaches for lithium-ion battery state estimation and life prediction: A critical review of model-driven, data-driven, and hybrid techniques","Wang, Kunyu (60007031500); Lin, Xin (58500634700); Zhang, Xiaodong (60007031600); Zheng, Jianming (58903001300); He, Hongzhou (7402291592); Xu, Ying (58665933600); Wang, Dechao (57195733186); Zheng, Zhifeng (36769853600); Huang, Yuanbo (36767445800)","Lithium-ion batteries (LIBs) are crucial for a wide range of applications, from electric vehicles to grid storage, and require accurate state-of-charge (SOC), state-of-health (SOH), and remaining-useful-life (RUL) estimates to achieve optimal performance and safety. However, the existing prediction methods face key challenges, such as their insufficient adaptability to dynamic working conditions, heavy reliance on high-quality data, and limited model generalizability, as well as the resource constraints imposed by edge devices. In this paper, model-driven, data-driven and hybrid methods are comprehensively analysed to highlight their advantages and limitations. Model-driven approaches have strong interpretability, but they face challenges in terms of their computational complexity and adaptability to dynamic conditions. Data-driven methods perform well in terms of flexibility, real-time deployment and lightweight computing. However, these methods usually require high-quality data. Hybrid methods combine physical interpretability with data-driven real-time performance, effectively reducing their reliance on high-quality data and significantly improving their accuracy and generalizability in different operational scenarios. Future battery state management research must prioritize lightweight modelling, quantum computing for atomic-level electrochemical simulations, and meta-learning for adaptive battery management systems (BMSs) to overcome the current deployment limitations. These advancements will jointly drive BMS technology towards higher efficiency, safety and sustainability levels, bridging the gap between laboratory research and industrial applications. © 2025 Elsevier Ltd",2025-01-01,Scopus,B,A,Journal of Cleaner Production,https://doi.org/10.1016/j.jclepro.2025.146229,0,,2,Scopus,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105011160683&doi=10.1016%2Fj.jclepro.2025.146229&partnerID=40&md5=7ac5197e08df1bd89e9af40975195c57
https://doi.org/10.1108/ECAM-12-2023-1230,Paths to BIM-based digital transformation: a bibliometric and systematic review of critical factors,"Diaz Schery, Carlos Alejandro (58558907200); Caiado, Rodrigo Goyannes Gusmão (57224222999); Aguilar Vargas, Soraida (57191246617); Rodriguez Vignon, Yiselis (58985410600)","Purpose: The purpose of this paper is twofold: first, to present a rigorous bibliometric analysis and a systematic literature review of the critical success factors (CSFs) for Building information modelling (BIM)-based digital transformation; second, to identify the relationship between the dimensions in favour of BIM implementation. Design/methodology/approach: This study adopts a two-step approach to combine bibliometric and systematic literature review to explore the research topic of BIM and CSFs. Bibliometric tools such as Biblioshiny in R language and Ucinet software were applied to this study. Findings: Besides identifying the two most influential authors (e.g. Bryde and Antwi-Afari), the key journal for disseminating articles, and the most influential countries in this discourse (e.g. Hong Kong and Australia), the study also identifies four pivotal research themes derived from the co-occurrence analysis of keywords: the fusion of sustainability and technology with BIM; practical application and its integration within construction management; innovation and engineering paradigms; and the advent of emerging technologies (e.g. Blockchain) within developing nations. Additionally, the paper introduces a comprehensive framework for selecting CSFs pertinent to BIM-centred digital transformation as viewed through the lens of dynamic capabilities. Originality/value: This paper establishes a link between dynamic capabilities theory, CSFs, and BIM dimensions, presenting a multifaceted framework guiding future paths and offering practical insights for managerial and political decision-makers engaged in digital transformation endeavours. The study positions dynamic capabilities as pivotal, aligning digital technologies with continuous business performance, and advocates for a strategic focus on digital transformation. © 2024, Emerald Publishing Limited.",2025-01-01,Scopus,,A,"Engineering, Construction and Architectural Management",https://doi.org/10.1108/ECAM-12-2023-1230,0,,15,Scopus,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85190377863&doi=10.1108%2FECAM-12-2023-1230&partnerID=40&md5=fe60434f12189deb9c92fe221bfc369c
https://doi.org/10.1108/IJEM-01-2025-0015,"Leading and managing international and national accreditations in higher education institutions: urgency, challenges and strategies","Prastiwi, Irene Budi (59093843600); Sudibjo, Niko (57198451756); Tan, Jacob Donald (57209251094)","Purpose: This study aims to explore how the national quality assurance system pushes the obtainment of international accreditation and investigates the dual pursuit of international and national accreditations by higher education institutions (HEIs), focusing on the urgency, challenges and success factors involved in leading and managing the accreditation process of both accreditations. Design/methodology/approach: A systematic literature review (SLR) of empirical studies published between 2015 and 2024 was conducted using the Education Resources Information Center (ERIC). The analysis followed Braun and Clarke’s (2006) six steps of thematic analysis. A total of 16 articles were analyzed. Findings: This study found that national quality assurance systems played a pivotal role in promoting dual accreditation through internationalization by establishing standards, providing guidance and incentivizing institutions to meet national and global benchmarks. HEIs have been motivated to pursue dual accreditation by various factors, including enhanced reputation, internationalization, financial stability, quality assurance, policy compliance, benchmarking and graduate employability. However, the dual accreditation process has often been characterized by administrative burdens, differences in standards, language barriers, lack of transparency and institutional misalignment. While these challenges have persisted, HEIs have developed strategies to address them, such as effective planning, resource management, communication, collaboration, knowledge sharing and a tailored approach. Originality/value: This systematic scoping review of the ERIC database offers a comprehensive overview of the research on higher education dual accreditation. © 2025, Emerald Publishing Limited.",2025-01-01,Scopus,,B,International Journal of Educational Management,https://doi.org/10.1108/IJEM-01-2025-0015,0,,0,Scopus,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105005546139&doi=10.1108%2FIJEM-01-2025-0015&partnerID=40&md5=d476ea5fff7e06db5e2b5bb29d7c319a
https://doi.org/10.1108/BPMJ-07-2024-0555,A review of AI and machine learning contribution in business process management (process enhancement and process improvement approaches),"Abbasi, Mostafa (58848828800); Nishat, Rahnuma Islam (36190208000); Bond, Corey (57957022100); Graham-Knight, John Brandon (57218573092); Lasserre, Patricia (26632075500); Lucet, Yves (22954204500); Najjaran, Homayoun (57203257121)","Purpose: The significance of business processes has fostered a close collaboration between academia and industry. Moreover, the business landscape has witnessed continuous transformation, closely intertwined with technological advancements. Our main goal is to offer researchers and process analysts insights into the latest developments concerning artificial intelligence (AI) and machine learning (ML) to optimize their processes in an organization and identify research gaps and future directions in the field. Design/methodology/approach: In this study, we perform a systematic review of academic literature to investigate the integration of AI/ML in business process management (BPM). We categorize the literature according to the BPM life-cycle and employ bibliometric and objective-oriented methodology to analyze related papers. Findings: In business process management and process map, AI/ML has made significant improvements using operational data on process metrics. These developments involve two distinct stages: (1) process enhancement, which emphasizes analyzing process information and adding descriptions to process models and (2) process improvement, which focuses on redesigning processes based on insights derived from analysis. Research limitations/implications: While this review paper serves to provide an overview of different approaches for addressing process-related challenges, it does not delve deeply into the intricacies of fine-grained technical details of each method. This work focuses on recent papers conducted between 2010 and 2024. Originality/value: This work addresses a significant gap by employing a pioneering approach to introduce challenges in BPM alongside AI/ML techniques and integrated tools. Hence, it offers comprehensive guidelines that elucidate the alignment between ML methods and solutions to current challenges across the BPM life-cycle, including process enhancement and process improvement. Additionally, by detailing various aspects of the life-cycle phases and highlighting ML technique characteristics, this research demonstrates potential approaches for future exploration, thereby enhancing applicability for both process analysts and researchers in this context. © 2024, Emerald Publishing Limited.",2025-01-01,Scopus,C,B,Business Process Management Journal,https://doi.org/10.1108/BPMJ-07-2024-0555,0,,8,Scopus,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85208931164&doi=10.1108%2FBPMJ-07-2024-0555&partnerID=40&md5=4c268ac7e67c462223b644d04fe2d7e2
https://doi.org/10.1007/s12351-025-00915-3,The impact of information sharing factors on the bullwhip effect mitigation: a systematic literature review,"Al-Sukhni, Muthana (57467449900); Migdalas, Athanasios (6505880791)","Effective information sharing is essential for improving the efficiency and effectiveness of supply chains. However, the specific impact of various information sharing factors on mitigating the bullwhip effect has not been extensively investigated in existing literature. This study addresses this gap by systematically reviewing and analyzing research from 2015 to 2024, focusing on how different information sharing factors contribute to bullwhip effect mitigation. We reviewed 57 articles to gain insights into five critical factors: what information is shared, how it is shared, with whom it is shared, why it is shared, and the direction of information sharing. Our analysis indicates that “why to share” and “what to share” are the most frequently studied dimensions, while “how to share,” “with whom to share,” and “the direction of information sharing” have been less explored. This study underscores the need for further research on these less examined factors and enhances understanding of their role in mitigating the bullwhip effect. Additionally, it provides a future research agenda to direct further investigations in this domain. © The Author(s) 2025.",2025-01-01,Scopus,A+,C,Operational Research,https://doi.org/10.1007/s12351-025-00915-3,0,,1,Scopus,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105002904253&doi=10.1007%2Fs12351-025-00915-3&partnerID=40&md5=da9774160e1a9726d3cf1c893975ea01
